iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"11","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/11","OK","200","5","9","Successful request",,,"1","1","0","0"
"12","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","6","2","Successful request",,,"1","1","0","0"
"12","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"12","Todos API","/todos/{id}","GET","localhost:8080/api/todos/12","OK","200","2","47","Successful request",,,"1","1","0","0"
"12","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/12","OK","200","4","9","Successful request",,,"1","1","0","0"
"12","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/12","OK","200","3","9","Successful request",,,"1","1","0","0"
"13","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","5","2","Successful request",,,"1","1","0","0"
"13","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"13","Todos API","/todos/{id}","GET","localhost:8080/api/todos/13","OK","200","3","47","Successful request",,,"1","1","0","0"
"13","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/13","OK","200","3","9","Successful request",,,"1","1","0","0"
"13","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/13","OK","200","2","9","Successful request",,,"1","1","0","0"
"14","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","5","2","Successful request",,,"1","1","0","0"
"14","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"14","Todos API","/todos/{id}","GET","localhost:8080/api/todos/14","OK","200","2","47","Successful request",,,"1","1","0","0"
"14","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/14","OK","200","3","9","Successful request",,,"1","1","0","0"
"14","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/14","OK","200","3","9","Successful request",,,"1","1","0","0"
"15","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"15","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"15","Todos API","/todos/{id}","GET","localhost:8080/api/todos/15","OK","200","2","47","Successful request",,,"1","1","0","0"
"15","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/15","OK","200","3","9","Successful request",,,"1","1","0","0"
"15","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/15","OK","200","3","9","Successful request",,,"1","1","0","0"
"16","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"16","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"16","Todos API","/todos/{id}","GET","localhost:8080/api/todos/16","OK","200","2","47","Successful request",,,"1","1","0","0"
"16","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/16","OK","200","4","9","Successful request",,,"1","1","0","0"
"16","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/16","OK","200","2","9","Successful request",,,"1","1","0","0"
"17","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"17","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"17","Todos API","/todos/{id}","GET","localhost:8080/api/todos/17","OK","200","3","47","Successful request",,,"1","1","0","0"
"17","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/17","OK","200","4","9","Successful request",,,"1","1","0","0"
"17","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/17","OK","200","2","9","Successful request",,,"1","1","0","0"
"18","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"18","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"18","Todos API","/todos/{id}","GET","localhost:8080/api/todos/18","OK","200","3","47","Successful request",,,"1","1","0","0"
"18","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/18","OK","200","3","9","Successful request",,,"1","1","0","0"
"18","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/18","OK","200","3","9","Successful request",,,"1","1","0","0"
"19","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"19","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"19","Todos API","/todos/{id}","GET","localhost:8080/api/todos/19","OK","200","2","47","Successful request",,,"1","1","0","0"
"19","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/19","OK","200","4","9","Successful request",,,"1","1","0","0"
"19","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/19","OK","200","3","9","Successful request",,,"1","1","0","0"
"20","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"20","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"20","Todos API","/todos/{id}","GET","localhost:8080/api/todos/20","OK","200","2","47","Successful request",,,"1","1","0","0"
"20","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/20","OK","200","3","9","Successful request",,,"1","1","0","0"
"20","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/20","OK","200","2","9","Successful request",,,"1","1","0","0"
"21","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"21","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"21","Todos API","/todos/{id}","GET","localhost:8080/api/todos/21","OK","200","2","47","Successful request",,,"1","1","0","0"
"21","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/21","OK","200","4","9","Successful request",,,"1","1","0","0"
"21","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/21","OK","200","3","9","Successful request",,,"1","1","0","0"
"22","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"22","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"22","Todos API","/todos/{id}","GET","localhost:8080/api/todos/22","OK","200","2","47","Successful request",,,"1","1","0","0"
"22","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/22","OK","200","3","9","Successful request",,,"1","1","0","0"
"22","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/22","OK","200","3","9","Successful request",,,"1","1","0","0"
"23","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"23","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"23","Todos API","/todos/{id}","GET","localhost:8080/api/todos/23","OK","200","3","47","Successful request",,,"1","1","0","0"
"23","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/23","OK","200","3","9","Successful request",,,"1","1","0","0"
"23","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/23","OK","200","3","9","Successful request",,,"1","1","0","0"
"24","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"24","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"24","Todos API","/todos/{id}","GET","localhost:8080/api/todos/24","OK","200","3","47","Successful request",,,"1","1","0","0"
"24","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/24","OK","200","3","9","Successful request",,,"1","1","0","0"
"24","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/24","OK","200","3","9","Successful request",,,"1","1","0","0"
"25","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","5","2","Successful request",,,"1","1","0","0"
"25","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"25","Todos API","/todos/{id}","GET","localhost:8080/api/todos/25","OK","200","3","47","Successful request",,,"1","1","0","0"
"25","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/25","OK","200","3","9","Successful request",,,"1","1","0","0"
"25","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/25","OK","200","3","9","Successful request",,,"1","1","0","0"
"26","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"26","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"26","Todos API","/todos/{id}","GET","localhost:8080/api/todos/26","OK","200","3","47","Successful request",,,"1","1","0","0"
"26","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/26","OK","200","2","9","Successful request",,,"1","1","0","0"
"26","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/26","OK","200","3","9","Successful request",,,"1","1","0","0"
"27","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"27","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"27","Todos API","/todos/{id}","GET","localhost:8080/api/todos/27","OK","200","3","47","Successful request",,,"1","1","0","0"
"27","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/27","OK","200","3","9","Successful request",,,"1","1","0","0"
"27","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/27","OK","200","2","9","Successful request",,,"1","1","0","0"
"28","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","5","2","Successful request",,,"1","1","0","0"
"28","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"28","Todos API","/todos/{id}","GET","localhost:8080/api/todos/28","OK","200","3","47","Successful request",,,"1","1","0","0"
"28","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/28","OK","200","3","9","Successful request",,,"1","1","0","0"
"28","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/28","OK","200","4","9","Successful request",,,"1","1","0","0"
"29","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"29","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"29","Todos API","/todos/{id}","GET","localhost:8080/api/todos/29","OK","200","4","47","Successful request",,,"1","1","0","0"
"29","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/29","OK","200","3","9","Successful request",,,"1","1","0","0"
"29","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/29","OK","200","3","9","Successful request",,,"1","1","0","0"
"30","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","5","2","Successful request",,,"1","1","0","0"
"30","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"30","Todos API","/todos/{id}","GET","localhost:8080/api/todos/30","OK","200","4","47","Successful request",,,"1","1","0","0"
"30","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/30","OK","200","2","9","Successful request",,,"1","1","0","0"
"30","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/30","OK","200","3","9","Successful request",,,"1","1","0","0"
"31","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"31","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"31","Todos API","/todos/{id}","GET","localhost:8080/api/todos/31","OK","200","3","47","Successful request",,,"1","1","0","0"
"31","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/31","OK","200","3","9","Successful request",,,"1","1","0","0"
"31","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/31","OK","200","3","9","Successful request",,,"1","1","0","0"
"32","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"32","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"32","Todos API","/todos/{id}","GET","localhost:8080/api/todos/32","OK","200","2","47","Successful request",,,"1","1","0","0"
"32","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/32","OK","200","4","9","Successful request",,,"1","1","0","0"
"32","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/32","OK","200","3","9","Successful request",,,"1","1","0","0"
"33","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"33","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"33","Todos API","/todos/{id}","GET","localhost:8080/api/todos/33","OK","200","2","47","Successful request",,,"1","1","0","0"
"33","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/33","OK","200","3","9","Successful request",,,"1","1","0","0"
"33","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/33","OK","200","2","9","Successful request",,,"1","1","0","0"
"34","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"34","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"34","Todos API","/todos/{id}","GET","localhost:8080/api/todos/34","OK","200","3","47","Successful request",,,"1","1","0","0"
"34","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/34","OK","200","2","9","Successful request",,,"1","1","0","0"
"34","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/34","OK","200","2","9","Successful request",,,"1","1","0","0"
"35","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"35","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"35","Todos API","/todos/{id}","GET","localhost:8080/api/todos/35","OK","200","2","47","Successful request",,,"1","1","0","0"
"35","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/35","OK","200","3","9","Successful request",,,"1","1","0","0"
"35","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/35","OK","200","3","9","Successful request",,,"1","1","0","0"
"36","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"36","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"36","Todos API","/todos/{id}","GET","localhost:8080/api/todos/36","OK","200","3","47","Successful request",,,"1","1","0","0"
"36","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/36","OK","200","3","9","Successful request",,,"1","1","0","0"
"36","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/36","OK","200","3","9","Successful request",,,"1","1","0","0"
"37","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"37","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"37","Todos API","/todos/{id}","GET","localhost:8080/api/todos/37","OK","200","2","47","Successful request",,,"1","1","0","0"
"37","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/37","OK","200","3","9","Successful request",,,"1","1","0","0"
"37","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/37","OK","200","3","9","Successful request",,,"1","1","0","0"
"38","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"38","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"38","Todos API","/todos/{id}","GET","localhost:8080/api/todos/38","OK","200","2","47","Successful request",,,"1","1","0","0"
"38","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/38","OK","200","3","9","Successful request",,,"1","1","0","0"
"38","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/38","OK","200","3","9","Successful request",,,"1","1","0","0"
"39","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"39","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"39","Todos API","/todos/{id}","GET","localhost:8080/api/todos/39","OK","200","3","47","Successful request",,,"1","1","0","0"
"39","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/39","OK","200","3","9","Successful request",,,"1","1","0","0"
"39","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/39","OK","200","4","9","Successful request",,,"1","1","0","0"
"40","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"40","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"40","Todos API","/todos/{id}","GET","localhost:8080/api/todos/40","OK","200","2","47","Successful request",,,"1","1","0","0"
"40","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/40","OK","200","3","9","Successful request",,,"1","1","0","0"
"40","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/40","OK","200","3","9","Successful request",,,"1","1","0","0"
"41","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"41","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","7","47","Successful request",,,"1","1","0","0"
"41","Todos API","/todos/{id}","GET","localhost:8080/api/todos/41","OK","200","2","47","Successful request",,,"1","1","0","0"
"41","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/41","OK","200","3","9","Successful request",,,"1","1","0","0"
"41","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/41","OK","200","3","9","Successful request",,,"1","1","0","0"
"42","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"42","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
"42","Todos API","/todos/{id}","GET","localhost:8080/api/todos/42","OK","200","2","47","Successful request",,,"1","1","0","0"
"42","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/42","OK","200","3","9","Successful request",,,"1","1","0","0"
"42","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/42","OK","200","3","9","Successful request",,,"1","1","0","0"
"43","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"43","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"43","Todos API","/todos/{id}","GET","localhost:8080/api/todos/43","OK","200","3","47","Successful request",,,"1","1","0","0"
"43","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/43","OK","200","3","9","Successful request",,,"1","1","0","0"
"43","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/43","OK","200","3","9","Successful request",,,"1","1","0","0"
"44","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"44","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"44","Todos API","/todos/{id}","GET","localhost:8080/api/todos/44","OK","200","2","47","Successful request",,,"1","1","0","0"
"44","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/44","OK","200","3","9","Successful request",,,"1","1","0","0"
"44","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/44","OK","200","4","9","Successful request",,,"1","1","0","0"
"45","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"45","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"45","Todos API","/todos/{id}","GET","localhost:8080/api/todos/45","OK","200","2","47","Successful request",,,"1","1","0","0"
"45","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/45","OK","200","3","9","Successful request",,,"1","1","0","0"
"45","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/45","OK","200","3","9","Successful request",,,"1","1","0","0"
"46","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"46","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"46","Todos API","/todos/{id}","GET","localhost:8080/api/todos/46","OK","200","2","47","Successful request",,,"1","1","0","0"
"46","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/46","OK","200","3","9","Successful request",,,"1","1","0","0"
"46","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/46","OK","200","3","9","Successful request",,,"1","1","0","0"
"47","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"47","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"47","Todos API","/todos/{id}","GET","localhost:8080/api/todos/47","OK","200","3","47","Successful request",,,"1","1","0","0"
"47","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/47","OK","200","3","9","Successful request",,,"1","1","0","0"
"47","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/47","OK","200","3","9","Successful request",,,"1","1","0","0"
"48","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","4","2","Successful request",,,"1","1","0","0"
"48","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","4","47","Successful request",,,"1","1","0","0"
"48","Todos API","/todos/{id}","GET","localhost:8080/api/todos/48","OK","200","2","47","Successful request",,,"1","1","0","0"
"48","Todos API","/todos/{id}","PUT","localhost:8080/api/todos/48","OK","200","3","9","Successful request",,,"1","1","0","0"
"48","Todos API","/todos/{id}","DELETE","localhost:8080/api/todos/48","OK","200","3","9","Successful request",,,"1","1","0","0"
"49","Todos API","/todos","GET","localhost:8080/api/todos","OK","200","3","2","Successful request",,,"1","1","0","0"
"49","Todos API","/todos","POST","localhost:8080/api/todos","OK","200","5","47","Successful request",,,"1","1","0","0"
